"","city","data","total"
"414","San Antonio",19,136254
"415","Virginia Beach",1,7280
"416","St. Charles",1,4264
"417","Chicago",3,9324
"418","Kansas City",2,3745
"419","Seaford",2,22546
"420","King George",2,11371
"421","Forest Park",2,101068
"422","Stuart",1,20803
"423","Charlotte",2,4216
"424","Anderson",1,14637
"425","Jacksonville",2,41748
"426","Reed Point",2,9941
"427","Prescott Valley",2,93040
"428","Dexter",4,104683
"429","Odenville",1,607
"430","Centerville",3,57891
"431","Bellefontaine",33,703498
"432","Miami",1,70166
"433","Arlington",2,8696
"434","Wylie",20,1898019
"435","Fort Totten",6,93025
"436","University Park",6,45181
"437","Temple",5,64454
"438","Los Angeles",1,5602
"439","Palm Bay",1,2133
"440","Laredo",1,13174
"441","McLaughlin",1,44850
"442","Austin",1,22476
"443","Reidsville",4,258009
"444","Wasilla",2,54909
"445","Nashville",9,147458
"446","Northridge",3,73473
"447","Dayton",1,7381
"448","Valdosta",1,12854
"449","Kimberling City",1,14389
"450","Danville",8,10229
"451","Cape Coral",1,2238
"452","Rochester",1,55514
"453","Richmond",7,69523
"454","Coushatta",1,419
"455","Columbus",8,185010
"456","Riverside",16,282011
"457","Reedsport",7,146091
"458","Minneola",1,17115
"459","Burbank",2,5558
"460","Lakeland",13,628377
"461","Sparkman",12,383134
"462","Fairbanks",3,95708
"463","San Antonio",5,95750
"464","Columbus",2,33841
"465","Gainesville",1,10027
"466","Midland",2,58802
"467","Jamesville",1,1958
"468","Houston",1,17760
"469","Abbeville",19,433031
"470","Detroit",2,86628
"471","Ozark",5,147344
"472","Muskogee",12,288000
"473","Orange Park",3,13322
"474","Dora",4,69186
"475","Sebeka",3,25557
"476","Sebeka",34,1822394
"477","San Antonio",6,13924
"478","Liberty",3,109527
"479","Empire",3,37221
"480","Kalispell",6,240735
"481","Stanley",30,18713220
"482","Culpeper",10,51309
"483","West Sacramento",1,178
"484","Duluth",1,410
"485","Antioch",7,74879
"486","Vici",1,1546
"487","Eagle Point",2,17319
"488","Nebo",1,21196
"489","San Jose",4,95338
"490","Braham",1,612
"491","Blanchard",2,50347
"492","Villa Hills",50,2024074
"493","Lincoln",1,2834
"494","Lincoln",8,79620
"495","Cedar Rapids",2,21428
"496","Lonoke",6,73326
"497","Catasauqua",12,265351
"498","Chillicothe",2,4087
"499","Yreka",4,14122
"500","Greer",1,32376
"501","New Wilmington",17,351246
"502","Athens",7,101004
"503","Salisbury",20,215784
"504","Mount Hermon",8,267648
"505","Seattle",3,2230722
"506","Miami",32,1005654
"507","Indian Wells",6,101060
"508","Rexburg",2,1153
"509","El Paso",1,27843
"510","Blackfoot",8,230427
"511","Corbin",5,69020
"512","Fontana",1,35716
"513","Houston",5,82180
"514","Gulfport",1,264
"515","Clemson",1,25844
"516","Williamsport",1,32271
"517","Malvern",2,12220
"518","Waterville",7,18603
"519","East Cleveland",2,36032
"520","Austin",12,258069
"521","Las Vegas",7,74417
"522","Seattle",1,11120
"523","Pennsburg",1,17371
"524","Gastonia",2,34763
"525","Idaho Falls",1,13263
"526","Oxford",1,2727
"527","Mesa",1,12810
"528","Lakeview",3,10339
"529","Bettendorf",4,103526
"530","Redding",39,671033
"531","Phoenix",4,714
"532","Pine Hills",2,39072
"533","Kearns",9,132319
"534","Gaithersburg",2,21614
"535","Stratford",3,16737
"536","High Point",7,94299
"537","Ogden",3,42361
"538","Baltimore",1,23598
"539","Hazel Dell",1,7344
"540","Mobile",2,29742
"541","Las Cruces",9,415501
"542","Alta Sierra",12,184463
"543","Las Vegas",1,3161
"544","Kewaskum",1,51348
"545","Lenoir City",2,38526
"546","Franklinton",8,87796
"547","East Peoria",7,159428
"548","Tucson",3,13666
"549","Snyder",7,133943
"550","Carmel",2,6240
"551","Dixon",1,1249
"552","Broken Bow",1,1592
"553","Paradise Valley",3,13350
"554","La Quinta",12,59439
"555","Wabash",1,2207
"556","San Antonio",4,111076
"557","San Antonio",2,86075
"558","Mobile",1,20696
"559","Graham",1,7235
"560","Slidell",1,40311
"561","Wichita Falls",1,5449
"562","San Jose",4,95166
"563","College Station",2,36015
"564","Caneyville",14,319249
"565","Titusville",4,187239
"566","Fresno",1,1037
"567","Casas Adobes",2,32118
"568","Perryville",3,18230
"569","Sacramento",1,8312
"570","Toledo",5,117668
"571","Lawton",9,46524
"572","Marion",4,280498
"573","Carmichael",5,140469
"574","Biloxi",1,20421
"575","Prescott Valley",1,727
"576","Rusk",21,3592294
"577","Visalia",8,275579
"578","Phoenix",2,46550
"579","Lakewood",1,24840
"580","Montegut",6,143592
"581","Warrenville",3,30271
"582","Altadena",7,85239
"583","Munster",7,274492
"584","Killeen",2,76931
"585","Bentonville",1,1480
"586","Topeka",1,29886
"587","Evanston",3,3855
"588","Phoenix",14,257601
"589","Pembroke",12,100330
"590","Ridge",1,1628706
"591","Robbinsdale",6,115028
"592","Gaithersburg",1,10017
"593","Sparta",4,93932
"594","Chesaning",16,195805
"595","Washington",3,62250
"596","Hartford",2,18926
"597","Tigard",1,64558
"598","Memphis",2,6495
"599","Houston",1,10397
"600","Austin",3,71929
"601","Payson",2,71
"602","Homestead",4,53914
"603","Richburg",1,34124
"604","Jefferson City",5,71513
"605","Ontario",2,67899
"606","Newark",1,25962
"607","Lakeview",2,26597
"608","Beaumont",1,43981
"609","Minneapolis",10,95605
"610","Wichita",1,26145
"611","Ammon",2,48481
"612","Stroudsburg",5,69451
"613","Atlanta",2,74829
"614","Brooklyn",1,4630
"615","Highland",4,76514
"616","Charleston",1,5956
"617","Modesto",9,404223
"618","Denver",4,52592
"619","Phoenix",1,35266
"620","Phoenix",1,2057
"621","Brockton",7,114161
"622","Hesperia",2,7963
"623","Kaneohe",15,350365
"624","Warrenton",4,114584
"625","Lewiston",2,55353
"626","Davisboro",2,21458
"627","Hartford",3,22831
"628","Houston",5,5944
"629","Philadelphia",3,24229
"630","Midway",2,17949
"631","Oakland",2,75087
"632","Redding",1,177603
"633","Antioch",2,2270
"634","Dalton",3,15408
"635","Columbus",1,17601
"636","Glendale",1,176
"637","Joliet",2,26352
"638","Mobile",2,1724
"639","Wichita",3,24243
"640","Anchorage",1,3256
"641","Nampa",3,56820
"642","Jefferson",3,15849
"643","Auburn",1,281
"644","Smyrna",2,41629
"645","Daytona Beach",1,10689
"646","Sevierville",8,177253
"647","Orlando",1,7494
"648","Deming",5,151227
"649","Jurupa Valley",3,29156
"650","Greenfield",6,169383
"651","Kennewick",3,5014
"652","New York",11,182437
"653","Farmington",1,1232
"654","Houston",24,143932
"655","Oklahoma City",2,53296
"656","Trout Creek",2,5438
"657","Middleway",2,30325
"658","Gary",14,39018
"659","Rehoboth Beach",5,117282
"660","La Marque",1,527
"661","Fort Atkinson",1,19311
"662","Oxford",1,9895
"663","Las Vegas",3,135248
"664","Riverview",2,12109
"665","Gates",2,14597
"666","Flint",1,23888
"667","Rowland Heights",1,39132
"668","St. Louis",5,116480
"669","Dayton",2,722243
"670","Mesquite",4,61171
"671","Toledo",4,94371
"672","Mountain Iron",5,84331
"673","Bronx",12,251974
"674","Columbus",1,47415
"675","Buckeye",2,21886
"676","Prichard",4,156181
"677","Phoenix",4,209070
"678","Mansfield",5,19119
"679","St. Petersburg",1,9564
"680","Redding",5,77192
"681","Detroit",1,9599
"682","Rutherfordton",4,72299
"683","Pineville",18,570308
"684","Ferry Pass",32,1588961
